Date,Sport,Team/Player,Bet Type,Odds,Stake ,Result,Profit ,Odds Range
10/30/25,NFL,Ravens/Dolphins,Total (Under 51.5),114,50,Win,57,Underdog
10/30/25,NFL,Ravens/Dolphins,Total (Under 51.5),-115,100,Win,86.96,Favorite
11/02/25,NFL,49ers,Spread (Alt -6.5),190,125,Win,237.5,Underdog
11/02/25,NFL,Zach Ertz,Prop (Over 37.5),-112,75,Win,66.96,Favorite
11/06/25,NFL,Ashton Jeanty,Prop (Over 2.5 Rec),-126,126,Win,100,Favorite
11/09/25,NFL,Jaguars,Spread (Alt -2.5),110,70,Loss,-70,Even
11/09/25,NFL,Bears,Spread (Alt -6.5),124,220,Loss,-220,Underdog
11/16/25,NFL,Packers,Spread (Alt -6.5),-132,640,Win,484.85,Favorite
11/17/25,NFL,Cowboys,Spread (1H -2.5),-110,189,Win,171.82,Favorite
11/20/25,NFL,Bills,Spread (1H -2.5),-115,285,Win,247.83,Favorite
11/23/25,NFL,Chiefs,Spread (Alt -6.5),140,250,Loss,-250,Underdog
11/23/25,NFL,Steelers/Bears,Total (1H Under 23.5),-120,50,Loss,-50,Favorite
11/24/25,NFL,Panthers/49ers,Total (1H Under 24.5),-125,150,Win,120,Favorite
11/24/25,NFL,Panthers/49ers,Total (1H Under 24.5 Boost),104,100,Win,104,Underdog
11/27/25,NFL,Jared Goff,Prop (Over 239.5),134,100,Win,134,Underdog
11/27/25,NFL,Chiefs,Spread (Alt -2.5),-148,234,Loss,-234,Favorite
11/30/25,NFL,C.J. Stroud,Prop (Over 33.5),-118,50,Win,42.37,Favorite
11/30/25,NFL,Dolphins,Spread (Alt -6.5),112,242,Loss,-242,Even
11/30/25,NFL,Browns,Spread (Alt -2.5),255,50,Loss,-50,Underdog
12/01/25,NFL,Giants/Patriots,Total (1H Under 26.5),-105,100,Loss,-100,Favorite
12/04/25,NFL,Dak Prescott,Prop (Over 35.5),-109,100,Win,91.74,Favorite
12/04/25,NFL,Cowboys/Lions,Total (1H Under 28.5),-109,100,Loss,-100,Favorite
12/07/25,NFL,Dolphins,Spread (-2.5),-118,242,Win,205.08,Favorite
12/08/25,NFL,Justin Herbert,Prop (Over 217.5),-112,112,Loss,-112,Favorite
12/11/25,NFL,Buccaneers,Spread (1H -2.5),-120,150,Loss,-150,Favorite
12/21/25,NFL,Bengals,Spread (1H -2.5),-104,100,Win,96.15,Favorite
12/21/25,NFL,Vikings,Spread (-2.5),-115,200,Win,173.91,Favorite
12/22/25,NFL,49ers,Spread (1H -2.5),-110,75,Win,68.18,Favorite
12/25/25,NFL,Cowboys,Spread (1H -6.5),-110,100,Win,90.91,Favorite
12/28/25,NFL,49ers,Spread (1H -2.5),-110,156.55,Win,142.32,Favorite
12/29/25,NFL,Rams/Falcons,Total (1H Under 24.5),-125,250,Win,200,Favorite
